"trial"	"choice"	"delay_sooner"	"amount_sooner"	"Tsubj"
1	1	0	0	73
2	1	0	0	74
3	1	0	0	75
4	1	0	0	76
5	1	0	0	77
6	1	0	0	78
7	1	0	0	79
8	1	0	0	80
9	1	0	0	81
10	0	0	0	82
11	1	0	0	83
12	1	0	0	84
13	1	0	0	85
14	1	0	0	86
15	1	0	0	87
16	1	0	0	88
17	0	0	0	89
18	1	0	0	90
19	1	0	0	91
20	1	0	0	92
21	0	0	0	93
22	1	0	0	94
23	1	0	0	95
24	1	0	0	96
25	1	0	0	97
26	1	0	0	98
27	1	0	0	99
28	0	0	0	100
29	0	0	0	101
30	1	0	0	102
31	0	0	0	103
32	1	0	0	104
33	0	0	0	105
34	1	0	0	106
35	1	0	0	107
36	1	0	0	108
37	1	0	0	109
38	1	0	0	110
39	1	0	0	111
40	1	0	0	112
41	1	0	0	113
42	0	0	0	114
43	1	0	0	115
44	1	0	0	116
45	1	0	0	117
46	1	0	0	118
47	0	0	0	119
48	1	0	0	120
49	1	0	0	121
50	0	0	0	122
51	1	0	0	123
52	0	0	0	124
53	0	0	0	125
54	1	0	0	126
55	1	0	0	127
56	1	0	0	128
57	0	0	0	129
58	0	0	0	130
59	1	0	0	131
60	1	0	0	132
61	1	0	0	133
62	0	0	0	134
63	0	0	0	135
64	0	0	0	136
65	0	0	0	137
66	1	0	0	138
67	1	0	0	139
68	1	0	0	140
69	1	0	0	141
70	1	0	0	142
71	1	0	0	143
72	1	0	0	144
